engine	symbol	class	base_hash	xetex_hash	external_boundaries	diff
shared	zscandelimiter	XetexWidenedDuplicate	263195fb1267ff4b	88a1fe0ed6ab468d	Clean	LargeSemanticDivergence
shared	zscandimen	XetexWidenedDuplicate	f423da74767c5f96	529c3ecade8df4ae	Clean	LargeSemanticDivergence
shared	zscanglue	XetexWidenedDuplicate	bc1c11b305e7f817	7e8fd64b5f412e15	Clean	SmallGuardedBehavior
shared	zscanglyphnumber	XetexWidenedDuplicate	-	d7c5312359e20246	Clean	IdenticalAfterNormalization
shared	zscankeyword	XetexWidenedDuplicate	f0e82cd64245fd3f	c3d2138d9d1f3a5b	Clean	LargeSemanticDivergence
shared	zscanmath	XetexWidenedDuplicate	2491c8246311eca3	fb50521053a364ee	Clean	LargeSemanticDivergence
shared	zscansomethinginternal	BoundaryAdapterRequired	0c368c27a58e77fb	830c44b65c7d9315	CFDictionaryRef,aatfontget,aatfontget1,aatfontget2,aatfontgetnamed,aatfontgetnamed1,countpdffilepages,getfontcharrange,getglyphbounds,getnativecharht,getnativecharic,getnativecharwd,grfontgetnamed,grfontgetnamed1,usingGraphite,znotaatfonterror,znotaatgrfonterror	HostBoundaryDifference
shared	zscanspec	XetexWidenedDuplicate	0f97f2350adab4e8	bd7ec6bd7eef7d31	Clean	SmallGuardedBehavior
shared	zscantoks	XetexWidenedDuplicate	f725b02c802ae1d2	6045220cbb6e8583	Clean	LargeSemanticDivergence
shared	zsearchstring	XetexWidenedDuplicate	2be25f63d9f6f394	7502749bd2a3f35e	Clean	LargeSemanticDivergence
shared	zsetmathchar	XetexWidenedDuplicate	b87eb37bea52bc9c	7828fe1b038939ff	Clean	LargeSemanticDivergence
shared	zshortdisplay	XetexWidenedDuplicate	6bb429268eecccb6	65a6efe008906eff	Clean	LargeSemanticDivergence
shared	zshowbox	XetexWidenedDuplicate	9f4a877bd1b4a1aa	8de0e6fd3d2ef366	Clean	StateLayoutDifference
shared	zshoweqtb	XetexWidenedDuplicate	311afd813fca2882	37579e35121e3b5b	Clean	LargeSemanticDivergence
shared	zshownodelist	XetexWidenedDuplicate	2c0b68bb80dbc9be	72a57550f5070057	Clean	LargeSemanticDivergence
shared	zshowsa	XetexWidenedDuplicate	108aa2bbf227cf93	d46f0c849ab1521d	Clean	SmallGuardedBehavior
shared	zshowtokenlist	XetexWidenedDuplicate	d5c60c6b432becf5	dd25a76ab7397910	Clean	LargeSemanticDivergence
shared	zslowprint	EtexProfileGated	8884570d3ce0bf09	-	Clean	IdenticalAfterNormalization
shared	zsprintcs	XetexWidenedDuplicate	3c9738e32bb13124	6eefbb5285ba44ef	Clean	LargeSemanticDivergence
shared	zsrctokencopy	TexCompatibleDuplicate	860a508920f5ba62	860a508920f5ba62	Clean	IdenticalAfterNormalization
shared	zstackintobox	XetexWidenedDuplicate	847388d3f09f7ca0	54a47e52cb688910	Clean	SmallGuardedBehavior
shared	zstreqbuf	XetexWidenedDuplicate	7328273851bde95e	f36ee75ac0e14a5f	Clean	LargeSemanticDivergence
shared	zstreqstr	XetexWidenedDuplicate	1fbee0b264140bba	800aa8df80765708	Clean	LargeSemanticDivergence
shared	zstrtoks	XetexWidenedDuplicate	bfc60f41b479be3a	11e76c47df67eb23	Clean	LargeSemanticDivergence
shared	zstrtokscat	XetexWidenedDuplicate	-	4d965d8657cd1dfb	Clean	IdenticalAfterNormalization
shared	zsub1	XetexWidenedDuplicate	-	92c2ec65eae20e3d	Clean	IdenticalAfterNormalization
shared	zsub2	XetexWidenedDuplicate	-	97865c122da96276	Clean	IdenticalAfterNormalization
shared	zsubdrop	XetexWidenedDuplicate	-	58ab21395127396f	Clean	IdenticalAfterNormalization
shared	zsup1	XetexWidenedDuplicate	-	5c29945d8bacec4b	Clean	IdenticalAfterNormalization
shared	zsup2	XetexWidenedDuplicate	-	d1565b5a5e4a9db4	Clean	IdenticalAfterNormalization
shared	zsup3	XetexWidenedDuplicate	-	e6906d878393f241	Clean	IdenticalAfterNormalization
shared	zsupdrop	XetexWidenedDuplicate	-	7276e5da38bdd919	Clean	IdenticalAfterNormalization
